Inverter History Report_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,Report generation time:20231228213933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner's cell phone number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Voltage V(V),AC Voltage W(V),AC Current U(A),AC Current V(A),AC Current W(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
802,26/11/2023 13:02:41 (UTC-4:00),Normal, ,319.5,7.4,2364,320.4,7.2,2307,324.2,7.0,2269,11.9,0.1,0,223.4,0.0,0.0,30.0,0.0,0.0,6790.000,60.000,31.800,1224.000,12210.000,31687.000,55.4, ,0.00,0.000,0.000,0.000,0
803,26/11/2023 13:07:41 (UTC-4:00),Normal, ,323.8,4.3,1392,324.8,4.2,1364,324.9,4.1,1332,14.9,0.1,0,222.5,0.0,0.0,17.9,0.0,0.0,4030.000,60.030,32.300,1225.000,12211.000,31688.000,56.0, ,0.00,0.000,0.000,0.000,0
804,26/11/2023 13:12:42 (UTC-4:00),Normal, ,330.1,3.9,1287,331.2,3.8,1259,327.3,3.8,1244,12.6,0.1,0,222.6,0.0,0.0,16.7,0.0,0.0,3760.000,60.010,32.700,1225.000,12211.000,31688.000,53.9, ,0.00,0.000,0.000,0.000,0
805,26/11/2023 13:17:40 (UTC-4:00),Normal, ,334.2,3.7,1237,331.3,3.6,1193,335.2,3.5,1173,9.4,0.1,0,222.1,0.0,0.0,15.8,0.0,0.0,3540.000,59.970,33.000,1225.000,12212.000,31688.000,52.1, ,0.00,0.000,0.000,0.000,0
806,26/11/2023 13:22:40 (UTC-4:00),Normal, ,330.3,4.1,1354,331.3,4.1,1358,331.4,4.0,1326,10.5,0.1,0,222.4,0.0,0.0,17.7,0.0,0.0,3980.000,59.980,33.300,1226.000,12212.000,31689.000,51.4, ,0.00,0.000,0.000,0.000,0
807,26/11/2023 13:27:39 (UTC-4:00),Normal, ,329.9,3.5,1155,327.0,3.5,1145,335.0,3.4,1139,11.8,0.1,0,221.8,0.0,0.0,15.0,0.0,0.0,3370.000,59.930,33.600,1226.000,12212.000,31689.000,50.3, ,0.00,0.000,0.000,0.000,0
808,26/11/2023 13:32:41 (UTC-4:00),Normal, ,334.1,3.8,1270,331.3,3.8,1259,331.3,3.7,1226,11.4,0.1,0,222.0,0.0,0.0,16.5,0.0,0.0,3700.000,59.940,33.900,1226.000,12213.000,31689.000,49.7, ,0.00,0.000,0.000,0.000,0
809,26/11/2023 13:37:44 (UTC-4:00),Normal, ,333.8,3.8,1268,334.8,3.7,1239,334.8,3.7,1239,11.3,0.1,0,222.4,0.0,0.0,16.4,0.0,0.0,3690.000,59.970,34.200,1227.000,12213.000,31690.000,49.2, ,0.00,0.000,0.000,0.000,0
810,26/11/2023 13:42:42 (UTC-4:00),Normal, ,339.6,5.4,1834,336.7,5.4,1818,332.7,5.4,1797,11.1,0.1,0,222.8,0.0,0.0,23.5,0.0,0.0,5340.000,59.940,34.600,1227.000,12213.000,31690.000,51.0, ,0.00,0.000,0.000,0.000,0
811,26/11/2023 13:46:59 (UTC-4:00),Normal, ,332.4,4.0,1330,329.4,3.9,1285,329.5,3.8,1252,13.5,0.1,0,222.4,0.0,0.0,16.9,0.0,0.0,3810.000,59.970,34.900,1227.000,12214.000,31690.000,51.2, ,0.00,0.000,0.000,0.000,0
812,26/11/2023 13:52:16 (UTC-4:00),Normal, ,332.1,7.6,2524,325.3,7.7,2505,325.2,7.6,2472,12.2,0.1,0,223.8,0.0,0.0,32.2,0.0,0.0,7360.000,60.020,35.500,1228.000,12214.000,31691.000,54.4, ,0.00,0.000,0.000,0.000,0
813,26/11/2023 13:57:15 (UTC-4:00),Normal, ,329.4,7.8,2569,322.6,7.9,2549,322.7,7.8,2517,10.8,0.1,0,223.7,0.0,0.0,32.7,0.0,0.0,7440.000,60.000,36.000,1228.000,12215.000,31691.000,55.2, ,0.00,0.000,0.000,0.000,0
814,26/11/2023 14:02:15 (UTC-4:00),Normal, ,332.1,4.6,1528,325.3,4.7,1529,325.4,4.6,1497,12.7,0.1,0,222.7,0.0,0.0,19.7,0.0,0.0,4470.000,60.000,36.400,1229.000,12215.000,31692.000,55.2, ,0.00,0.000,0.000,0.000,0
