YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M
2022,12,23,8,20.44,14.28,17.37,10.93,647.22,653.2,0.72,0.15,50.22,298.12,301.2,38.07,0.96,4.85,67.62,0.0,92.97,3.27,77.99,3.94,73.76
2022,12,23,9,23.65,14.91,19.29,11.41,842.17,848.2,0.75,0.15,36.69,389.88,389.12,51.7,1.66,8.75,57.88,0.03,92.96,2.15,50.01,2.8,42.63
2022,12,23,10,26.49,15.8,21.14,12.08,965.06,987.15,0.74,0.16,23.12,450.45,451.92,61.02,2.23,12.33,51.75,0.11,92.89,1.51,356.44,2.27,359.41
2022,12,23,11,28.01,16.07,22.04,12.33,971.5,1066.73,0.7,0.16,9.88,466.1,487.92,64.32,2.53,14.35,48.19,0.15,92.82,1.59,304.78,2.05,319.16
2022,12,23,12,28.69,16.11,22.4,12.33,900.67,1082.25,0.64,0.17,6.31,431.38,495.73,60.0,2.41,13.55,46.44,0.21,92.74,1.98,282.06,2.29,293.76
2022,12,23,13,28.57,15.98,22.27,12.27,815.46,1021.12,0.61,0.16,19.02,385.55,468.23,54.16,2.07,11.15,46.38,0.28,92.69,2.1,272.35,2.33,281.2
2022,12,23,14,28.14,16.01,22.08,12.27,593.82,895.3,0.5,0.16,32.56,281.4,411.4,39.54,1.38,7.1,47.69,0.33,92.65,1.86,256.43,2.04,263.83
2022,12,23,15,27.22,16.22,21.72,12.45,423.84,712.27,0.44,0.15,46.12,200.55,328.15,27.99,0.82,4.38,50.94,0.36,92.61,1.49,211.94,1.52,216.87
2022,12,23,16,25.63,16.79,21.21,12.94,280.88,490.38,0.39,0.15,59.55,131.1,226.3,17.92,0.39,1.92,58.06,0.34,92.62,2.51,161.85,2.86,161.37
2022,12,23,17,23.61,17.59,20.6,13.61,125.98,251.7,0.3,0.15,72.77,57.05,114.98,7.35,0.09,0.42,68.88,0.35,92.66,3.94,143.88,5.1,143.41
2022,12,23,18,21.24,18.01,19.62,13.98,25.49,43.83,0.23,0.12,85.51,9.85,18.65,1.32,0.01,0.02,81.69,0.26,92.74,4.86,136.3,6.6,135.82
2022,12,23,19,19.4,17.79,18.59,13.73,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,90.31,0.1,92.82,5.45,131.05,7.27,129.9
2022,12,23,20,18.29,17.05,17.67,13.12,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,92.38,0.06,92.87,5.94,124.61,7.92,123.33
2022,12,23,21,17.73,16.54,17.13,12.7,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,92.62,0.06,92.91,5.78,119.75,8.0,118.52
2022,12,23,22,17.35,16.25,16.8,12.45,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,93.12,0.09,92.91,5.52,118.12,7.82,117.05
2022,12,23,23,17.05,16.15,16.6,12.39,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.25,0.11,92.87,5.14,118.51,7.41,117.51
2022,12,24,0,16.81,16.04,16.42,12.27,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,95.0,0.12,92.81,4.81,117.69,7.06,116.96
2022,12,24,1,16.62,15.96,16.3,12.21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,95.69,0.12,92.76,4.56,113.44,6.83,112.81
2022,12,24,2,16.54,15.97,16.25,12.27,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,96.31,0.1,92.72,4.29,105.2,6.58,104.71
2022,12,24,3,16.53,16.07,16.3,12.33,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,96.94,0.03,92.72,4.0,96.17,6.37,95.35
2022,12,24,4,16.61,16.2,16.4,12.45,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,97.31,0.01,92.76,3.53,86.95,6.0,85.97
2022,12,24,5,16.79,16.37,16.58,12.57,15.7,12.55,0.36,0.13,88.23,5.23,5.27,0.66,0.0,0.0,97.19,0.01,92.82,3.01,75.89,5.45,75.65
2022,12,24,6,18.34,17.06,17.7,13.12,174.48,172.52,0.55,0.16,76.84,75.4,76.8,8.18,0.06,0.3,92.12,0.02,92.87,3.98,60.12,5.23,58.19
2022,12,24,7,20.76,17.45,19.11,13.43,413.75,408.92,0.66,0.16,63.71,186.55,186.8,21.9,0.38,1.83,81.19,0.06,92.91,4.28,41.6,5.45,39.88
2022,12,24,8,23.77,17.2,20.49,13.24,646.32,642.55,0.72,0.16,50.34,295.52,294.33,37.33,0.95,4.77,66.5,0.25,92.93,4.06,24.34,5.01,23.81
