YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_SW_DWN,ALLSKY_KT
2022,12,23,4,0.0,-999.0,90.0,0.0,0.0,0.0,16.49,15.09,15.79,11.57,91.3,0.15,92.76,5.17,128.6,7.12,127.1,0.0,0.0,-999.0
2022,12,23,5,0.0,-999.0,90.0,0.0,0.0,0.0,16.37,14.98,15.67,11.49,91.32,0.13,92.71,4.82,125.6,6.68,124.3,0.0,0.0,-999.0
2022,12,23,6,0.0,-999.0,90.0,0.0,0.0,0.0,16.28,14.88,15.58,11.42,91.29,0.1,92.71,4.49,121.0,6.32,119.8,0.0,0.0,-999.0
2022,12,23,7,0.0,-999.0,90.0,0.0,0.0,0.0,16.18,14.8,15.49,11.35,91.37,0.07,92.77,4.22,115.5,6.09,114.5,0.0,0.0,-999.0
2022,12,23,8,14.05,0.17,88.17,5.87,0.72,0.0,16.15,14.73,15.44,11.29,91.13,0.04,92.84,3.96,112.1,5.74,110.8,0.03,14.15,0.31
2022,12,23,9,179.93,0.17,76.73,83.55,8.68,0.06,16.78,14.57,15.68,11.16,86.61,0.04,92.9,4.25,104.2,5.61,101.3,0.3,184.18,0.56
2022,12,23,10,416.12,0.16,63.6,195.43,22.86,0.38,18.27,14.23,16.25,10.92,77.19,0.03,92.95,4.2,90.8,5.22,88.1,1.88,423.05,0.67
2022,12,23,11,642.12,0.15,50.22,301.2,38.07,0.96,20.45,14.28,17.37,10.95,67.59,0.03,92.97,3.26,78.0,3.94,73.8,4.85,653.2,0.71
2022,12,23,12,843.15,0.15,36.69,389.13,51.7,1.65,23.66,14.91,19.28,11.41,57.89,0.63,92.96,2.15,50.1,2.8,42.7,8.75,848.2,0.75
2022,12,23,13,976.78,0.15,23.12,451.93,61.03,2.24,26.49,15.79,21.14,12.09,51.76,2.57,92.89,1.51,356.2,2.27,359.5,12.32,987.15,0.75
2022,12,23,14,1011.25,0.16,9.88,487.92,64.32,2.53,28.01,16.07,22.04,12.31,48.17,3.56,92.82,1.59,305.0,2.05,319.2,14.35,1066.72,0.73
2022,12,23,15,933.28,0.16,6.31,495.72,60.0,2.4,28.69,16.11,22.4,12.35,46.42,5.1,92.74,1.98,281.9,2.28,293.8,13.55,1082.25,0.67
2022,12,23,16,827.12,0.16,19.02,468.23,54.15,2.07,28.57,15.98,22.27,12.26,46.37,6.84,92.68,2.1,272.5,2.33,281.1,11.15,1021.12,0.62
2022,12,23,17,596.08,0.15,32.56,411.4,39.54,1.38,28.14,16.02,22.08,12.29,47.64,7.84,92.65,1.87,256.4,2.03,263.8,7.1,895.3,0.5
2022,12,23,18,422.02,0.15,46.12,328.15,27.99,0.82,27.22,16.21,21.71,12.46,50.94,8.6,92.61,1.49,212.1,1.52,216.7,4.38,712.28,0.43
2022,12,23,19,274.0,0.15,59.55,226.3,17.92,0.39,25.63,16.79,21.21,12.93,58.05,8.13,92.62,2.5,161.9,2.86,161.4,1.92,490.38,0.38
2022,12,23,20,118.9,0.15,72.78,114.98,7.35,0.09,23.61,17.59,20.6,13.6,68.9,8.34,92.66,3.94,143.9,5.1,143.4,0.43,251.7,0.29
2022,12,23,21,21.62,0.15,85.51,18.65,1.32,0.01,21.24,18.01,19.62,13.96,81.73,6.21,92.74,4.86,136.3,6.61,135.9,0.03,43.83,0.2
2022,12,23,22,0.0,-999.0,90.0,0.0,0.0,0.0,19.39,17.79,18.59,13.75,90.34,2.49,92.82,5.45,131.1,7.28,129.9,0.0,0.0,-999.0
2022,12,23,23,0.0,-999.0,90.0,0.0,0.0,0.0,18.29,17.06,17.67,13.11,92.36,1.35,92.88,5.94,124.6,7.93,123.4,0.0,0.0,-999.0
2022,12,24,0,0.0,-999.0,90.0,0.0,0.0,0.0,17.72,16.53,17.12,12.68,92.65,1.51,92.91,5.77,119.8,8.0,118.5,0.0,0.0,-999.0
2022,12,24,1,0.0,-999.0,90.0,0.0,0.0,0.0,17.35,16.25,16.8,12.45,93.13,2.06,92.91,5.52,118.1,7.82,117.1,0.0,0.0,-999.0
2022,12,24,2,0.0,-999.0,90.0,0.0,0.0,0.0,17.05,16.14,16.6,12.37,94.27,2.71,92.87,5.14,118.5,7.41,117.6,0.0,0.0,-999.0
2022,12,24,3,0.0,-999.0,90.0,0.0,0.0,0.0,16.81,16.04,16.42,12.29,95.03,2.85,92.81,4.81,117.7,7.06,117.0,0.0,0.0,-999.0
2022,12,24,4,0.0,-999.0,90.0,0.0,0.0,0.0,16.63,15.96,16.3,12.24,95.69,2.9,92.76,4.56,113.4,6.83,112.8,0.0,0.0,-999.0
2022,12,24,5,0.0,-999.0,90.0,0.0,0.0,0.0,16.54,15.97,16.25,12.25,96.28,2.37,92.72,4.29,105.1,6.58,104.7,0.0,0.0,-999.0
2022,12,24,6,0.0,-999.0,90.0,0.0,0.0,0.0,16.53,16.07,16.3,12.32,96.88,0.75,92.72,4.0,96.2,6.37,95.3,0.0,0.0,-999.0
2022,12,24,7,0.0,-999.0,90.0,0.0,0.0,0.0,16.61,16.2,16.4,12.43,97.29,0.17,92.76,3.53,86.9,6.0,85.9,0.0,0.0,-999.0
2022,12,24,8,12.5,0.16,88.22,5.28,0.66,0.0,16.79,16.36,16.57,12.55,97.17,0.26,92.82,3.01,76.0,5.46,75.7,0.0,12.55,0.29
2022,12,24,9,169.1,0.17,76.85,76.8,8.18,0.06,18.34,17.06,17.7,13.12,92.13,0.45,92.87,3.98,60.1,5.23,58.1,0.3,172.52,0.53
2022,12,24,10,407.23,0.16,63.71,186.8,21.9,0.37,20.76,17.45,19.11,13.44,81.22,1.38,92.91,4.28,41.6,5.45,39.9,1.83,408.92,0.65
2022,12,24,11,641.62,0.16,50.33,294.33,37.33,0.95,23.77,17.2,20.49,13.22,66.53,6.07,92.93,4.06,24.3,5.01,23.8,4.78,642.55,0.71
2022,12,24,12,838.55,0.16,36.8,383.35,50.7,1.64,26.2,17.01,21.61,13.07,56.91,4.63,92.92,3.44,9.0,4.17,10.5,8.7,840.4,0.74
2022,12,24,13,987.75,0.16,23.24,450.35,61.32,2.27,27.79,16.94,22.36,13.02,51.63,5.37,92.9,2.9,358.4,3.45,2.2,12.68,988.22,0.76
2022,12,24,14,1060.2,0.16,9.98,487.72,66.68,2.65,28.78,16.89,22.84,12.98,48.58,6.38,92.87,2.28,347.6,2.67,354.0,15.18,1070.85,0.77
2022,12,24,15,993.85,0.16,6.22,495.65,63.32,2.56,29.42,16.8,23.11,12.91,46.53,6.6,92.81,1.52,326.8,1.69,337.1,14.6,1086.72,0.71
2022,12,24,16,924.6,0.16,18.91,468.7,58.82,2.28,29.74,16.66,23.2,12.8,45.27,7.78,92.75,0.89,278.4,0.78,291.0,12.43,1026.15,0.69
2022,12,24,17,543.97,0.15,32.45,411.95,37.05,1.32,29.44,16.52,22.98,12.7,45.67,9.07,92.69,1.23,194.6,1.19,188.7,6.78,899.4,0.46
2022,12,24,18,467.23,0.15,46.01,330.95,30.91,0.93,28.43,16.69,22.56,12.84,48.94,9.59,92.67,2.83,163.4,3.22,161.3,4.97,719.28,0.48
2022,12,24,19,305.52,0.15,59.45,229.67,19.54,0.42,26.87,17.26,22.07,13.32,55.6,8.56,92.68,4.32,149.9,5.37,149.2,2.1,497.15,0.43
2022,12,24,20,116.6,0.15,72.67,117.27,7.29,0.09,24.92,18.27,21.6,14.18,66.45,7.83,92.75,5.28,138.2,6.95,137.8,0.43,256.0,0.28
2022,12,24,21,22.33,0.15,85.42,18.9,1.36,0.01,22.65,18.76,20.71,14.62,78.58,7.52,92.83,5.41,131.1,7.44,131.0,0.03,44.42,0.2
2022,12,24,22,0.0,-999.0,90.0,0.0,0.0,0.0,20.95,18.67,19.81,14.53,86.7,3.76,92.89,5.29,126.4,7.46,125.5,0.0,0.0,-999.0
2022,12,24,23,0.0,-999.0,90.0,0.0,0.0,0.0,20.24,18.48,19.36,14.34,89.46,0.92,92.93,5.04,123.6,7.07,122.3,0.0,0.0,-999.0
2022,12,25,0,0.0,-999.0,90.0,0.0,0.0,0.0,19.84,18.21,19.03,14.09,90.16,0.16,92.99,4.67,121.6,6.59,120.5,0.0,0.0,-999.0
2022,12,25,1,0.0,-999.0,90.0,0.0,0.0,0.0,19.45,17.99,18.72,13.9,91.13,0.05,92.98,4.41,121.5,6.17,120.7,0.0,0.0,-999.0
2022,12,25,2,0.0,-999.0,90.0,0.0,0.0,0.0,19.15,17.73,18.44,13.68,91.34,0.06,92.93,4.26,116.0,6.24,113.3,0.0,0.0,-999.0
2022,12,25,3,0.0,-999.0,90.0,0.0,0.0,0.0,18.83,17.55,18.19,13.53,92.1,0.08,92.86,4.05,104.1,6.35,103.3,0.0,0.0,-999.0
2022,12,25,4,0.0,-999.0,90.0,0.0,0.0,0.0,18.49,17.52,18.01,13.51,93.91,0.13,92.82,3.71,92.9,6.23,90.7,0.0,0.0,-999.0
2022,12,25,5,0.0,-999.0,90.0,0.0,0.0,0.0,18.75,17.55,18.15,13.54,92.59,0.19,92.81,3.54,72.9,6.36,70.8,0.0,0.0,-999.0
2022,12,25,6,0.0,-999.0,90.0,0.0,0.0,0.0,18.85,17.59,18.22,13.57,92.21,0.22,92.81,3.12,57.8,6.2,56.0,0.0,0.0,-999.0
2022,12,25,7,0.0,-999.0,90.0,0.0,0.0,0.0,18.45,17.53,17.99,13.52,94.24,0.25,92.84,2.47,49.6,5.49,48.8,0.0,0.0,-999.0
2022,12,25,8,11.9,0.16,88.28,5.15,0.65,0.0,17.94,17.4,17.67,13.4,96.51,0.29,92.9,1.99,47.2,4.48,46.4,0.03,12.3,0.28
2022,12,25,9,148.85,0.16,76.96,76.37,8.05,0.06,19.63,17.69,18.66,13.63,88.37,0.18,92.96,2.46,47.1,3.2,45.3,0.3,170.23,0.47
2022,12,25,10,380.85,0.14,63.83,184.5,21.01,0.36,22.38,17.52,19.95,13.49,73.88,0.46,92.99,2.77,35.8,3.68,34.3,1.8,401.83,0.61
2022,12,25,11,608.22,0.14,50.45,292.61,35.95,0.93,25.23,17.11,21.17,13.14,60.64,2.8,92.99,3.09,30.1,3.86,31.0,4.7,634.22,0.68
