Time,Total Inverter Power(W)
2023-07-06 08:29:58,10130.0
2023-07-06 08:35:02,10420.0
2023-07-06 08:40:09,10560.0
2023-07-06 08:45:11,10840.0
2023-07-06 08:50:17,11180.0
2023-07-06 08:55:17,11290.0
2023-07-06 09:00:20,11550.0
2023-07-06 09:05:39,11830.0
2023-07-06 09:05:40,12010.0
2023-07-06 09:10:22,10430.0
2023-07-06 09:15:21,13290.0
2023-07-06 09:20:24,12350.0
2023-07-06 09:25:23,13410.0
2023-07-06 09:30:25,13660.0
2023-07-06 09:35:24,11430.0
2023-07-06 09:40:36,13150.0
2023-07-06 09:45:37,13710.0
2023-07-06 09:50:40,13700.0
2023-07-06 09:55:44,13700.0
2023-07-06 10:00:48,13880.0
2023-07-06 10:05:54,14070.0
2023-07-06 10:10:58,14420.0
2023-07-06 10:16:03,14660.0
2023-07-06 10:21:07,14710.0
2023-07-06 10:26:14,15410.0
2023-07-06 10:31:16,12870.0
2023-07-06 10:36:21,11900.0
2023-07-06 10:41:25,12540.0
2023-07-06 10:46:31,13090.0
2023-07-06 10:47:04,14760.0
2023-07-06 10:52:26,14610.0
2023-07-06 10:57:24,14420.0
2023-07-06 11:02:22,14430.0
2023-07-06 11:07:21,14500.0
2023-07-06 11:12:20,14410.0
2023-07-06 11:17:19,14210.0
2023-07-06 11:22:20,14350.0
2023-07-06 11:27:18,14270.0
2023-07-06 11:32:19,14230.0
2023-07-06 11:37:24,14150.0
2023-07-06 11:42:25,12550.0
2023-07-06 11:47:29,14490.0
2023-07-06 11:47:40,12300.0
2023-07-06 11:52:27,11960.0
2023-07-06 11:57:26,12560.0
2023-07-06 12:02:24,12320.0
2023-07-06 12:07:23,14260.0
2023-07-06 12:12:21,11530.0
2023-07-06 12:17:27,12500.0
2023-07-06 12:22:19,12230.0
2023-07-06 12:27:17,11570.0
2023-07-06 12:32:18,11120.0
2023-07-06 12:37:16,10920.0
2023-07-06 12:42:15,11790.0
2023-07-06 12:47:17,11160.0
2023-07-06 12:52:20,10660.0
2023-07-06 12:57:23,10390.0
2023-07-06 13:02:24,10100.0
2023-07-06 13:07:28,10250.0
2023-07-06 13:12:28,11150.0
2023-07-06 13:17:31,11130.0
2023-07-06 13:22:36,10450.0
2023-07-06 13:27:41,10530.0
2023-07-06 13:32:39,10020.0
2023-07-06 13:37:44,9070.0
2023-07-06 13:42:51,8730.0
2023-07-06 13:47:48,8320.0
2023-07-06 13:47:59,8560.0
2023-07-06 13:52:50,8510.0
2023-07-06 13:57:54,8280.0
2023-07-06 14:02:47,8050.0
2023-07-06 14:07:45,7750.0
2023-07-06 14:12:44,7380.0
2023-07-06 14:17:47,7190.0
2023-07-06 14:22:46,6980.0
2023-07-06 14:27:39,6750.0
2023-07-06 14:32:38,6360.0
2023-07-06 14:37:36,6180.0
2023-07-06 14:42:37,5890.0
2023-07-06 14:47:38,5720.0
2023-07-06 14:52:40,5550.0
2023-07-06 14:58:08,5430.0
2023-07-06 15:02:48,5230.0
2023-07-06 15:07:48,5310.0
2023-07-06 15:12:50,2760.0
2023-07-06 15:17:53,2620.0
2023-07-06 15:22:57,4320.0
2023-07-06 15:27:59,3890.0
2023-07-06 15:33:02,3760.0
2023-07-06 15:38:05,3680.0
2023-07-06 15:43:08,3390.0
2023-07-06 15:48:13,3270.0
2023-07-06 15:48:24,3140.0
2023-07-06 15:53:13,3010.0
2023-07-06 15:58:16,2860.0
2023-07-06 15:58:26,2780.0
2023-07-06 15:58:53,2630.0
2023-07-06 16:04:16,2480.0
2023-07-06 16:09:16,2190.0
2023-07-06 16:14:16,2170.0
2023-07-06 16:19:17,2080.0
2023-07-06 16:24:18,2170.0
2023-07-06 16:29:20,1970.0
2023-07-06 16:34:20,1420.0
2023-07-06 16:39:22,1820.0
2023-07-06 16:44:28,1920.0
2023-07-06 16:49:31,1520.0
2023-07-06 16:49:41,1340.0
2023-07-06 16:54:31,1520.0
2023-07-06 16:59:33,1320.0
2023-07-06 16:59:44,1050.0
2023-07-07 05:48:46,890.0
2023-07-07 05:54:36,740.0
2023-07-07 05:59:07,710.0
2023-07-07 06:05:14,770.0
2023-07-07 06:10:43,1030.0
2023-07-07 06:13:53,1400.0
2023-07-07 06:19:12,1390.0
2023-07-07 06:24:00,1680.0
2023-07-07 06:29:39,1750.0
2023-07-07 06:34:30,1540.0
2023-07-07 06:39:20,1130.0
2023-07-07 06:43:33,1180.0
2023-07-07 06:48:16,1270.0
2023-07-07 06:53:34,1390.0
2023-07-07 06:57:59,1630.0
2023-07-07 07:03:18,1910.0
2023-07-07 07:08:46,2090.0
2023-07-07 07:13:15,2170.0
2023-07-07 07:17:36,2270.0
2023-07-07 07:23:12,2640.0
2023-07-07 07:28:04,3030.0
2023-07-07 07:33:15,3560.0
2023-07-07 07:38:16,3770.0
2023-07-07 07:42:56,3900.0
2023-07-07 07:48:27,3430.0
2023-07-07 07:53:16,3220.0
2023-07-07 07:59:05,3270.0
2023-07-07 08:04:28,3750.0
2023-07-07 08:09:50,4550.0
2023-07-07 08:12:39,4670.0
2023-07-07 08:17:57,4950.0
2023-07-07 08:23:31,5220.0
2023-07-07 08:29:07,5560.0
2023-07-07 08:33:54,5650.0
2023-07-07 08:38:51,6660.0
2023-07-07 08:42:20,6890.0
2023-07-07 08:46:48,6800.0
2023-07-07 08:52:00,6700.0
2023-07-07 08:57:28,7070.0
2023-07-07 09:02:52,7480.0
2023-07-07 09:07:25,7160.0
2023-07-07 09:12:02,7320.0
2023-07-07 09:17:12,7290.0
2023-07-07 09:22:37,7490.0
2023-07-07 09:26:56,7800.0
2023-07-07 09:33:02,8360.0
2023-07-07 09:37:21,8530.0
2023-07-07 09:41:42,8350.0
2023-07-07 09:47:20,8180.0
2023-07-07 09:52:02,8290.0
2023-07-07 09:57:37,8050.0
2023-07-07 10:03:06,8460.0
2023-07-07 10:08:47,8850.0
2023-07-07 10:11:20,8650.0
2023-07-07 10:16:31,8940.0
2023-07-07 10:20:53,8860.0
2023-07-07 10:27:13,9310.0
2023-07-07 10:32:15,9910.0
2023-07-07 10:36:52,9890.0
2023-07-07 10:41:00,10010.0
2023-07-07 10:45:26,9720.0
2023-07-07 10:50:54,10260.0
2023-07-07 10:56:26,10240.0
2023-07-07 11:00:46,10340.0
2023-07-07 11:05:46,9970.0
2023-07-07 11:10:37,9940.0
2023-07-07 11:15:37,10280.0
2023-07-07 11:20:57,10210.0
2023-07-07 11:25:40,10560.0
2023-07-07 11:31:24,10490.0
2023-07-07 11:35:48,10410.0
2023-07-07 11:40:16,10420.0
2023-07-07 11:45:29,10410.0
2023-07-07 11:50:11,10460.0
2023-07-07 11:55:44,10420.0
2023-07-07 12:01:35,10060.0
2023-07-07 12:06:28,9750.0
2023-07-07 12:09:51,9800.0
2023-07-07 12:14:57,9670.0
2023-07-07 12:19:25,10060.0
2023-07-07 12:24:31,8270.0
2023-07-07 12:30:01,9410.0
2023-07-07 12:35:35,9850.0
2023-07-07 12:39:28,9870.0
2023-07-07 12:44:45,9920.0
2023-07-07 12:49:48,9840.0
2023-07-07 12:55:55,8930.0
2023-07-07 12:57:00,7620.0
2023-07-07 13:01:18,9220.0
2023-07-07 13:06:23,9340.0
2023-07-07 13:11:32,9160.0
2023-07-07 13:16:29,9070.0
2023-07-07 13:21:34,9190.0
2023-07-07 13:26:36,6170.0
2023-07-07 13:31:39,8550.0
2023-07-07 13:31:50,6550.0
2023-07-07 13:36:42,7600.0
2023-07-07 13:41:47,7520.0
2023-07-07 13:46:49,8170.0
2023-07-07 13:51:53,8000.0
2023-07-07 13:52:19,7830.0
2023-07-07 13:56:54,7570.0
2023-07-07 14:01:58,7650.0
2023-07-07 14:07:04,7490.0
2023-07-07 14:12:03,7390.0
2023-07-07 14:17:10,7240.0
2023-07-07 14:22:11,7090.0
2023-07-07 14:27:15,6980.0
2023-07-07 14:32:23,6840.0
2023-07-07 14:37:23,6580.0
2023-07-07 14:42:26,6350.0
2023-07-07 14:47:39,6140.0
2023-07-07 14:48:17,6160.0
2023-07-07 14:53:42,5990.0
2023-07-07 14:58:43,5730.0
2023-07-07 15:03:44,5460.0
2023-07-07 15:08:48,5560.0
2023-07-07 15:13:48,5630.0
2023-07-07 15:18:47,5710.0
2023-07-07 15:23:47,5610.0
2023-07-07 15:28:47,5270.0
2023-07-07 15:34:14,5000.0
2023-07-07 15:38:55,4830.0
2023-07-07 15:44:00,4750.0
2023-07-07 15:49:04,4790.0
2023-07-07 15:54:08,4390.0
2023-07-07 15:59:13,3390.0
2023-07-07 16:04:36,3250.0
2023-07-07 16:09:25,3160.0
2023-07-07 16:14:34,3270.0
2023-07-07 16:19:32,3290.0
2023-07-07 16:24:36,3260.0
2023-07-07 16:29:40,3230.0
2023-07-07 16:34:44,3220.0
2023-07-07 16:39:51,3490.0
2023-07-07 16:44:57,4130.0
2023-07-07 16:50:00,4520.0
2023-07-07 16:55:06,6260.0
2023-07-07 16:55:17,4460.0
2023-07-07 17:00:13,4680.0
2023-07-08 05:50:29,5280.0
2023-07-08 05:55:28,3460.0
2023-07-08 06:00:27,3320.0
2023-07-08 06:05:28,3050.0
2023-07-08 06:10:31,3030.0
2023-07-08 06:15:34,4540.0
2023-07-08 06:20:36,5420.0
2023-07-08 06:25:40,5040.0
2023-07-08 06:30:43,4680.0
2023-07-08 06:35:46,3100.0
2023-07-08 06:40:50,4230.0
2023-07-08 06:45:54,3060.0
2023-07-08 06:50:54,3030.0
2023-07-08 06:55:58,2760.0
2023-07-08 07:01:02,3060.0
2023-07-08 07:06:03,4100.0
2023-07-08 07:11:06,4150.0
2023-07-08 07:16:09,3310.0
2023-07-08 07:21:12,4710.0
2023-07-08 07:26:14,6180.0
2023-07-08 07:31:17,6220.0
2023-07-08 07:36:19,6150.0
2023-07-08 07:36:30,6540.0
2023-07-08 07:41:18,6760.0
2023-07-08 07:46:17,6590.0
2023-07-08 07:51:16,7070.0
2023-07-08 07:56:14,7490.0
2023-07-08 08:01:13,6900.0
2023-07-08 08:06:11,7600.0
2023-07-08 08:11:10,7980.0
2023-07-08 08:16:09,7590.0
2023-07-08 08:21:07,6610.0
2023-07-08 08:26:06,6040.0
2023-07-08 08:31:06,6020.0
2023-07-08 08:36:08,6550.0
2023-07-08 08:41:11,6480.0
2023-07-08 08:46:15,6030.0
2023-07-08 08:51:17,6390.0
2023-07-08 08:56:19,6540.0
2023-07-08 09:01:22,8270.0
2023-07-08 09:06:26,6310.0
2023-07-08 09:11:30,5810.0
2023-07-08 09:16:33,6500.0
2023-07-08 09:21:36,5910.0
2023-07-08 09:26:38,6010.0
